title data analysis;Datenanalyse
title data structures;Datenstrukturen
title data sets;Datensätze
title component specifications;Komponenten
title unused dimensions;Ungenutzte Dimensionen
title unused measures;Ungenutzte Messgrößen
title unused attributes;Ungenutzte Attribute
title unbound observations;Beobachtungen ohne Datensatz
title data selection;Datenauswahl
title data structures and sets;Datenstrukturen und Datensätze
title dimensions;Dimensionen
title measures;Messgrößen
title chart display;Diagrammanzeige
title chart selection;Diagrammauswahl
title types of presentation;Diagrammtypen
title rendering libraries;Diagramm-Bibliotheken
title chart addons;Optionen der Bibliothek
text order direction;Ordnung
text order none;keine
text order ascending;aufsteigend
text order descending;absteigend
text chart axis;Diagrammachse
text elements;Elemente
text pagination only;Zugriff seitenweise
text number of elements;Anzahl der Elemente
text begin at;Anfang bei Position
text aggregation method;Aggregation mittels
text aggregation SUM;Summe
text aggregation AVG;Durchschnitt
text aggregation MIN;Minimum
text aggregation MAX;Maximum
text round value;Werte runden
text chart type bar;Balken
text chart type pie;Kreis
text chart type line;Linien
text chart type area;Flächen
text chart type splines;Splines
text chart type scatterplot;Punktwolke
text chart type table;Tabelle
text loading;Lade...
text component for dimension;Komponente für Dimension
text uri;URI
text name;Name
text component for measure;Komponente für Messgröße
text dataset;Datensatz für %1 Beobachtungen
text datastructure;Datenstruktur
text with;mit
text using components;unter Nutzung der Komponenten für
text pattern ComponentSpecification;Komponente
text pattern DataStructureDefinition;Datenstruktur
text pattern DataSet;Datensatz
text pattern description;Folgende Pattern-Elemente können Sie verwenden
text pattern description MODEL;Die URI der aktuellen Wissensbasis wird eingefügt.
text pattern description MD5;Ein MD5-Hash der Attribute des Elementes wird eingefügt.
text pattern description COUNTER;Die aktuelle Elementnummer wird eingefügt.
text configuration file;URL zur Konfigurationsdatei
link detailed creation list;Detaillierte Elementliste
link detailed uri patterns;URI-Patterns der Elemente
link set as x-axis;Als X-Achse auswählen
link select some elements;Elemente auswählen
link pagination;Seitenauswahl
link options;Optionen
link show all elements;Alle Elemente anzeigen
link select all elements;Alle auswählen
link deselect all elements;Keines auswählen
link load configuration;Konfiguration laden
link save configuration;Konfiguration speichern
button create elements;Elemente erstellen
button set uri patterns;URI-Patterns speichern
button select data;Daten auswählen
button load file;Datei laden
button select elements;Auswählen
button set options;Speichern
info no processing;Leider sind in dieser Wissensbasis keine RDF-DataCube-Elemente zur weiteren Verarbeitung enthalten.
info data selection creation first;Bitte erstellen Sie zuerst DataCube-Elemente im Datenanalyse-Bereich.
info chart display selection first;Bitte wählen Sie die anzuzeigenden Daten im Auswahl-Bereich aus.
info chart selection selection first;Bitte wählen Sie die anzuzeigenden Daten im Auswahl-Bereich aus.
info structure given;Die ausgewählte Wissensbasis ist bereits mit dem RDF-DataCube-Vokabular strukturiert.
info chart type change;Bitte ändern Sie den Diagrammtyp.
info no chart library for selected type;Für diesen Diagrammtyp ist gegenwärtig keine Diagramm-Bibliothek konfiguriert.
info scatterplot two elements in x needed;Bitte wählen Sie genau zwei Elemente in der Dimension der x-Achse aus, um diesen Diagrammtyp nutzen zu können.
alert pagination limit;Bitte wählen Sie eine Menge mit höchstens %1 Elementen.
alert offset limit;Bitte wählen Sie den Beginn der Elementauswahl kleiner als %1.
alert empty pattern values;Leere Pattern-Eingaben sind nicht zugelassen.
alert missing generic name;Bitte verwenden Sie ein generisches Namenselement.
alert missing uri;Bitte geben Sie eine URI für das Element ein.
alert missing name;Bitte geben Sie einen Namen für das Element ein.
alert doubled uri;Die angegebene URI wurde bereits vergeben. Bitte ändern Sie Ihre Eingabe.
alert doubled name;Der angegebene Name wurde bereits vergeben. Bitte ändern Sie Ihre Eingabe.
addon AttributeConfigurationHighChartsParserAddOn title AttributeConfigurationHighChartsParserAddOn;Einstellungen der Diagrammattribute
addon AttributeConfigurationHighChartsParserAddOn title chart elements;Diagrammelemente
addon AttributeConfigurationHighChartsParserAddOn title chart legend;Legende
addon AttributeConfigurationHighChartsParserAddOn title chart xaxis;X-Achse
addon AttributeConfigurationHighChartsParserAddOn title chart yaxis;Y-Achse
addon AttributeConfigurationHighChartsParserAddOn title chart line style;Linienstil
addon AttributeConfigurationHighChartsParserAddOn title chart area style;Flächenstil
addon AttributeConfigurationHighChartsParserAddOn title chart bar style;Balkenstil
addon AttributeConfigurationHighChartsParserAddOn title chart title;Diagrammtitel
addon AttributeConfigurationHighChartsParserAddOn title chart credits;Credits
addon AttributeConfigurationHighChartsParserAddOn title pie elements;Kreis und Kreiselemente
addon AttributeConfigurationHighChartsParserAddOn text stacking;Stapelung der z-Elemente
addon AttributeConfigurationHighChartsParserAddOn text disabled;deaktiviert
addon AttributeConfigurationHighChartsParserAddOn text normal;normal
addon AttributeConfigurationHighChartsParserAddOn text percent;prozentual
addon AttributeConfigurationHighChartsParserAddOn text shadow;Schattierung
addon AttributeConfigurationHighChartsParserAddOn text enabled;aktiviert
addon AttributeConfigurationHighChartsParserAddOn text data labels;Elementwerte anzeigen
addon AttributeConfigurationHighChartsParserAddOn text legend show;Legende anzeigen
addon AttributeConfigurationHighChartsParserAddOn text layout;Anordnung
addon AttributeConfigurationHighChartsParserAddOn text horizontal;horizontal
addon AttributeConfigurationHighChartsParserAddOn text vertical;vertikal
addon AttributeConfigurationHighChartsParserAddOn text label rotation;Drehung der Beschriftung
addon AttributeConfigurationHighChartsParserAddOn text rotation 0;0°
addon AttributeConfigurationHighChartsParserAddOn text rotation -45;-45°
addon AttributeConfigurationHighChartsParserAddOn text rotation -90;-90°
addon AttributeConfigurationHighChartsParserAddOn text rotation 45;45°
addon AttributeConfigurationHighChartsParserAddOn text rotation 90;90°
