title data analysis;Data analysis
title data structures;Data structures
title data sets;Data sets
title component specifications;Component specifications
title unused dimensions;Unused dimension properties
title unused measures;Unused measure properties
title unused attributes;Unused attribute properties
title unbound observations;Unbound observations
title data selection;Data selection
title data structures and sets;Data Structures and Sets
title dimensions;Dimensions
title measures;Measures
title chart display;Chart display
title chart selection;Chart selection
title types of presentation;Types of presentation
title rendering libraries;Rendering libraries
title chart addons;Library options
text order direction;Order direction
text order none;none
text order ascending;ascending
text order descending;descending
text chart axis;Chart axis
text elements;elements
text pagination only;pagination only
text number of elements;Number of elements
text begin at;Begin at
text aggregation method;Aggregation method
text aggregation SUM;sum
text aggregation AVG;average
text aggregation MIN;minimum
text aggregation MAX;maximum
text round value;Round the values
text chart type bar;Bars
text chart type pie;Pie
text chart type line;Lines
text chart type area;Areas
text chart type splines;Splines
text chart type scatterplot;Scatter plot
text chart type table;Table
text loading;Loading...
text component for dimension;Component for dimension
text uri;URI
text name;Name
text component for measure;Component for measure
text dataset;DataSet for %1 observations
text datastructure;DataStructure
text with;with
text using components;using the components for
text pattern ComponentSpecification;Component specification
text pattern DataStructureDefinition;Data structure
text pattern DataSet;Data set
text pattern description;You can use the following elements in your patterns
text pattern description MODEL;The uri of the current model will be inserted.
text pattern description MD5;A md5-hashsum of the element attributes will be inserted.
text pattern description COUNTER;The current element number will be inserted.
text configuration file;URL to configuration file
link detailed creation list;Detailed creation list
link detailed uri patterns;Detailed URI patterns
link set as x-axis;Set as x-axis
link select some elements;Select some elements
link pagination;Pagination
link options;Options
link show all elements;Show all elements
link select all elements;Select all
link deselect all elements;Deselect all
link load configuration;Load configuration
link save configuration;Save configuration
button create elements;Create elements
button set uri patterns;Set URI patterns
button select data;Select data
button load file;Load file
button select elements;Select elements
button set options;Set options
info no processing;Sorry, there are no RDF Data Cube elements in this knowledge base, so no further processing is possible.
info data selection creation first;Please create some RDF Data Cube structure elements in the data analysis area first.
info chart display selection first;Please select the data first.
info chart selection selection first;Please select the data first.
info structure given;The current model is already structered with the RDF Data Cube vocabulary.
info chart type change;Please change the chart type.
info no chart library for selected type;There is currently no chart library configured to handle this chart type.
info scatterplot two elements in x needed;Please select exactly two elements in the dimension for the x-Axis in order to use this chart type.
alert pagination limit;Please choose a limit smaller than the pagination limit of %1 elements.
alert offset limit;Please choose an offset smaller than the total amount of %1 elements.
alert empty pattern values;Empty pattern values are not allowed.
alert missing generic name;Please insert a generic name element.
alert missing uri;Please enter an uri for the selected element.
alert missing name;Please enter a name for the selected element.
alert doubled uri;The selected uri exists twice in the creation list. Please change it.
alert doubled name;The selected name exists twice in the creation list. Please change it.
addon AttributeConfigurationHighChartsParserAddOn title AttributeConfigurationHighChartsParserAddOn;Chart properties
addon AttributeConfigurationHighChartsParserAddOn title chart elements;Chart elements
addon AttributeConfigurationHighChartsParserAddOn title chart legend;Legend
addon AttributeConfigurationHighChartsParserAddOn title chart xaxis;x-Axis
addon AttributeConfigurationHighChartsParserAddOn title chart yaxis;y-Axis
addon AttributeConfigurationHighChartsParserAddOn title chart line style;Line style
addon AttributeConfigurationHighChartsParserAddOn title chart area style;Area style
addon AttributeConfigurationHighChartsParserAddOn title chart bar style;Bar style
